date,latitude,longitude,depth,mag,place,province
2023-04-30,1.3235,1.263.001,28.646,5.1,"131 km E of Bitung, Indonesia",Sulawesi Utara
2023-04-30,-48.169,1.338.209,10,4.6,"Near the south coast of Papua, Indonesia",Papua
2023-04-29,-49.471,1.338.025,10,5.1,"138 km ENE of Tual, Indonesia",Maluku
2023-04-29,-103.619,1.201.779,26.019,4.4,"78 km S of Waingapu, Indonesia",Nusa Tenggara Timur
2023-04-29,8.1481,940.315,10,4.3,"287 km NNW of Sabang, Indonesia",Aceh
2023-04-29,-48.421,1.338.211,10,4.6,"146 km NE of Tual, Indonesia",Maluku
2023-04-29,-71.127,1.298.109,82.993,4.3,"Kepulauan Babar, Indonesia",Maluku
2023-04-28,2.5229,966.459,10,4.8,"29 km E of Sinabang, Indonesia",Aceh
2023-04-28,-87.282,1.189.796,117.935,5,"17 km S of Sape, Indonesia",Nusa Tenggara Barat
2023-04-28,-49.823,1.336.209,10,4.4,"119 km NE of Tual, Indonesia",Maluku
2023-04-28,-47.721,1.339.643,10,5.5,"164 km NE of Tual, Indonesia",Maluku
2023-04-28,-48.192,1.338.044,10,4.3,"147 km NE of Tual, Indonesia",Maluku
2023-04-28,-47.649,1.338.971,10,5.7,"158 km NE of Tual, Indonesia",Maluku
2023-04-27,3.2019,985.008,10,4.6,"1 km NW of Berastagi, Indonesia",Sumatra Utara
2023-04-27,-86.643,1.182.815,149.842,4.4,"24 km SW of Dompu, Indonesia",Nusa Tenggara Barat
2023-04-26,-7.335,98.591,25.639,5.1,"Kepulauan Batu, Indonesia",Sumatra Utara
2023-04-26,4.4992,951.465,67.65,4.6,"115 km WNW of Meulaboh, Indonesia",Aceh
2023-04-26,4.7519,95.456,78.845,4.9,"88 km S of Banda Aceh, Indonesia",Aceh
2023-04-25,-40.453,1.340.713,35.793,4.7,"175 km WSW of Nabire, Indonesia",Papua
2023-04-25,-71.159,1.123.496,243.273,4.2,"Java, Indonesia",Jawa Timur
2023-04-24,-9.254,985.229,21.649,4.9,"170 km NW of Tuapejat, Indonesia",Sumatra Barat
2023-04-24,1.7947,1.226.022,446.428,4.2,"Minahasa, Sulawesi, Indonesia",Sulawesi Utara
2023-04-24,3.5141,1.230.811,525.591,4,"298 km NW of Manado, Indonesia",Sulawesi Utara
2023-04-24,-4.889,102.968,66.805,4.7,"100 km SSW of Pagar Alam, Indonesia",Sumatra Selatan
2023-04-24,-28.674,1.298.701,10,4.4,"110 km ENE of Masohi, Indonesia",Maluku
